SAMPLING EVENT IDENTIFIER,COMMON NAME,OBSERVATION COUNT
S80288925,Mallard,4
S80281739,Rock Pigeon,43
S80281739,Marbled Godwit,1
S80281739,Song Sparrow,3
S80281739,Brown Pelican,17
S80281739,Brewer's Blackbird,29
S80281739,Great Egret,1
S80281739,American Crow,11
S80281739,California Towhee,6
S80281739,Golden-crowned Sparrow,53
S80281739,House Finch,5
S80281739,European Starling,31
S80281739,California Gull,31
S80281739,Yellow-rumped Warbler,2
S80281739,Common Raven,2
S80281739,Anna's Hummingbird,5
S80281739,California Scrub-Jay,5
S80281739,Brandt's Cormorant,31
S80281739,Spotted Towhee,1
S80281739,Horned Grebe,1
S80281739,Surf Scoter,43
S80281739,White-crowned Sparrow,17
S80281739,Ring-billed Gull,1
S80281739,Common Loon,1
S80281739,Townsend's Warbler,5
S80281739,Pacific Loon,1
S80281739,Western Gull,7
S80281739,Double-crested Cormorant,7
S80281739,Lesser Goldfinch,2
S80281739,Sanderling,53
S80281739,American Goldfinch,2
S80281739,Black Turnstone,7
S80281739,Black Phoebe,6
S80281739,American Coot,7
S80281739,Western Grebe,11
S80281739,Steller's Jay,1
S80281739,Say's Phoebe,1
S80281739,Bushtit,31
S80281739,American Kestrel,1
S80281739,Mallard,2
S80281739,Chestnut-backed Chickadee,5
S80590675,Chestnut-backed Chickadee,2
S80590675,American Crow,3
S80590675,Mourning Dove,2
S80590675,Yellow-rumped Warbler,1
S80590675,House Finch,9
S80590675,Bewick's Wren,1
S80590675,Lesser Goldfinch,6
S80590675,Pine Siskin,8
S80590675,Oak Titmouse,1
S80590675,Anna's Hummingbird,2
S80590675,gull sp.,4
S80590675,Rock Pigeon,5
S80590675,Red-breasted Nuthatch,1
S80590675,Townsend's Warbler,2
S80590675,American Goldfinch,1
S80590675,Ruby-crowned Kinglet,1
S80590675,Nuttall's Woodpecker,2
S80590675,Bushtit,6
S80590675,Dark-eyed Junco,1
S80642284,Dark-eyed Junco,14
S80642284,Purple Finch,1
S80642284,Red-bellied Woodpecker,1
S80642284,American Goldfinch,6
S80642284,Northern Cardinal,3
S80642284,Song Sparrow,1
S80686634,Rock Pigeon,3
S80686634,Bushtit,1
S80686634,Larus sp.,1
S80688191,American Coot,5
S80688191,Ruddy Duck,6
S80688191,White-crowned Sparrow,10
S80688191,Loggerhead Shrike,1
S80688191,Anna's Hummingbird,1
S80688191,Clark's Grebe,2
S80699251,Eastern Bluebird,2
S80699251,Carolina Wren,2
S80699251,Northern Flicker,1
S80699251,Mourning Dove,12
S80699251,Blue Jay,3
S80699251,White-breasted Nuthatch,1
S80699251,Dark-eyed Junco,4
S80699251,Eastern Towhee,1
S80699251,White-throated Sparrow,2
S80699251,Red-bellied Woodpecker,1
S80699251,Red-breasted Nuthatch,1
S80699251,Northern Mockingbird,1
S80699251,Hairy Woodpecker,1
S80699251,Carolina Chickadee,3
S80699251,House Finch,2
S80699251,American Goldfinch,13
S80699251,Northern Cardinal,7
S80699251,Downy Woodpecker,2
S80424316,Brown Pelican,1
S80424316,Purple Sandpiper,1
S80424316,Brant,30
S80424316,Great Black-backed Gull,8
S80424316,Song Sparrow,1
S80424316,Surf Scoter,16
S80424316,Lesser Black-backed Gull,1
S80424316,Rock Pigeon,65
S80424316,Bonaparte's Gull,25
S80424316,Northern Mockingbird,1
S80424316,Bufflehead,15
S80424316,Fish Crow,2
S80424316,Ring-billed Gull,150
S80424316,Double-crested Cormorant,10
S80302018,White-breasted Nuthatch,2
S80302018,Northern Cardinal,3
S80302018,Yellow-rumped Warbler,6
S80302018,Dark-eyed Junco,50
S80302018,Tufted Titmouse,3
S80302018,House Finch,8
S80302018,Downy Woodpecker,2
S80302018,Blue Jay,3
S80302018,Northern Mockingbird,1
S80302018,Red-bellied Woodpecker,2
S80302018,Yellow-bellied Sapsucker,1
S80302018,White-throated Sparrow,5
S80302018,Turkey Vulture,1
S80302018,American Crow,2
S80302018,Mourning Dove,2
S80302018,Eastern Bluebird,4
S80302018,Carolina Chickadee,3
S80302018,Carolina Wren,1
S80302018,European Starling,3
S80302018,American Goldfinch,4
S80273421,Gadwall,24
S80273421,Canada Goose,15
S80273421,Turkey Vulture,1
S80273421,Carolina Wren,1
S80273421,Carolina Chickadee,1
S80273421,Great Blue Heron,1
S80273421,Hooded Merganser,2
S80273421,Red-bellied Woodpecker,1
S80273421,American Crow,2
S80273421,Mallard,9
S80273421,Black Vulture,6
S80439031,Vermilion Flycatcher,2
S80439031,Northern Flicker,X
S80439031,Bald Eagle,1
S80439369,Northern Flicker,1
S80439369,Red-shouldered Hawk,2
S80439369,American Dipper,3
S80439369,Steller's Jay,1
S80439369,Common Merganser,4
S80439369,Golden-crowned Kinglet,17
S80439369,Common Raven,6
S80439369,Black Phoebe,1
S80536666,Bushtit,14
S80536666,Red-shouldered Hawk,2
S80536666,Yellow-rumped Warbler,8
S80536666,Red-tailed Hawk,3
S80536666,Dark-eyed Junco,4
S80536666,Chestnut-backed Chickadee,4
S80536666,Wrentit,3
S80536666,California Scrub-Jay,7
S80536666,Acorn Woodpecker,2
S80536666,American Coot,18
S80536666,Double-crested Cormorant,3
S80536666,Hutton's Vireo,1
S80536666,Pied-billed Grebe,4
S80536666,Bewick's Wren,7
S80536666,Ring-billed Gull,20
S80536666,Merlin,1
S80536666,Cinnamon Teal,1
S80536666,Mallard,4
S80536666,Brown Creeper,1
S80536666,Great Horned Owl,1
S80536666,American Robin,30
S80536666,Nuttall's Woodpecker,1
S80536666,Belted Kingfisher,1
S80536666,Spotted Towhee,6
S80536666,Common Raven,2
S80536666,Anna's Hummingbird,3
S80536666,California Towhee,5
S80536666,Townsend's Warbler,3
S80536666,Ruddy Duck,29
S80536666,American White Pelican,4
S80536666,Northern Mockingbird,1
S80536666,Virginia Rail,1
S80536666,Common Yellowthroat,2
S80536666,gull sp.,50
S80536666,Steller's Jay,1
S80536666,Oak Titmouse,2
S80536666,Golden-crowned Sparrow,13
S80536666,Sora,1
S80536666,Black Phoebe,3
S80536666,Downy Woodpecker,1
S80536666,Great Blue Heron,2
S80536666,California Thrasher,1
S80536666,Bufflehead,6
S80536666,Western Gull,40
S80536666,Marsh Wren,2
S80536666,Ruby-crowned Kinglet,6
S80536666,Common Gallinule,2
S80536666,Song Sparrow,1
S80490074,American Kestrel,1
S80490074,White-tailed Kite,1
S80493843,House Finch,1
S80493843,Rock Pigeon,5
S80493843,California Scrub-Jay,1
S80493843,California Towhee,1
S80493843,Anna's Hummingbird,2
S80493843,Chestnut-backed Chickadee,2
S80493843,Cooper's Hawk,1
S80493843,Nuttall's Woodpecker,1
S80493843,Glaucous-winged Gull,1
S80493843,passerine sp.,3
S80493843,Western Gull,1
S80493843,Cedar Waxwing,2
S80545277,Canada Goose,35
S80545277,Bufflehead,4
S80545277,Gadwall,12
S80545277,Northern Shoveler,10
S80545277,Mallard,30
S80545277,American Coot,45
S80545277,Ring-necked Duck,75
S80605330,House Finch,4
S80605330,Purple Finch,36
S80605330,Northern Flicker,1
S80605330,Northern Cardinal,21
S80605330,Downy Woodpecker,1
S80605330,Red-bellied Woodpecker,2
S80605330,Blue Jay,2
S80605330,Carolina Chickadee,2
S80605330,White-throated Sparrow,10
S80605330,Carolina Wren,1
S80605330,Red-shouldered Hawk,2
S80605330,American Goldfinch,60
S80605330,Tufted Titmouse,3
S80605330,Fox Sparrow,1
S80605330,Red-tailed Hawk,1
S80605330,Mourning Dove,3
S80605330,Song Sparrow,2
S80605330,Dark-eyed Junco,12
S80572042,Fox Sparrow,1
S80572042,American Goldfinch,30
S80572042,Carolina Chickadee,1
S80572042,Purple Finch,25
S80572042,Dark-eyed Junco,6
S80572042,American Crow,2
S80572042,Tufted Titmouse,1
S80572042,Red-bellied Woodpecker,2
S80572042,Downy Woodpecker,1
S80572042,House Finch,3
S80572042,Northern Cardinal,26
S80572042,Carolina Wren,1
S80572042,Mourning Dove,33
S80572042,White-throated Sparrow,4
S80619791,Blue Jay,3
S80619791,Pileated Woodpecker,1
S80619791,Downy Woodpecker,1
S80619791,Wild Turkey,4
S80660986,Bewick's Wren,1
S80660986,Dark-eyed Junco,2
S80660986,Lesser Goldfinch,2
S80660986,White-crowned Sparrow,2
S80660986,American Kestrel,1
S80660986,Say's Phoebe,1
S80660986,Mountain Bluebird,35
S80660986,Red-tailed Hawk,1
S80670567,Carolina Wren,1
S80670567,Red-shouldered Hawk,2
S80670567,Downy Woodpecker,2
S80670567,American Goldfinch,4
S80670567,Dark-eyed Junco,14
S80670567,Fox Sparrow,2
S80670567,Purple Finch,5
S80670567,Northern Cardinal,43
S80670567,White-breasted Nuthatch,1
S80670567,Carolina Chickadee,2
S80670567,Tufted Titmouse,1
S80670567,Song Sparrow,3
S80670567,White-throated Sparrow,26
S80728224,Townsend's Warbler,2
S80728224,Red-breasted Nuthatch,1
S80728224,Chestnut-backed Chickadee,1
S80728224,Yellow-rumped Warbler,1
S80728224,Dark-eyed Junco,1
S80728224,Lesser Goldfinch,3
S80728224,Anna's Hummingbird,2
S80728224,American Crow,3
S80728224,Ruby-crowned Kinglet,1
S80728224,Pine Siskin,5
S80728224,Northern Flicker,1
S80728224,Mourning Dove,1
S80728224,Nuttall's Woodpecker,1
S80728401,American Crow,2
S80728401,Ruby-crowned Kinglet,1
S80728401,Dark-eyed Junco,3
S80728401,House Finch,3
S80728401,Red-shouldered Hawk,1
S80728401,Townsend's Warbler,2
S80728401,Pine Siskin,6
S80728401,Lesser Goldfinch,1
S80728401,Bewick's Wren,1
S80728401,Yellow-rumped Warbler,1
S80728401,Red-breasted Nuthatch,1
S80728401,Anna's Hummingbird,1
S80728401,Chestnut-backed Chickadee,1
S80529629,Northern Harrier,1
S80387564,California Quail,2
S80387564,Steller's Jay,2
S80387564,White-crowned Sparrow,2
S80387564,California Scrub-Jay,3
S80387564,California Towhee,3
S80387564,Acorn Woodpecker,12
S80387564,Bewick's Wren,4
S80387564,Northern Flicker,1
S80387564,American Dipper,1
S80387564,Red-tailed Hawk,1
S80387564,Anna's Hummingbird,2
S80387564,California Thrasher,1
S80387564,Golden-crowned Sparrow,16
S80387564,White-breasted Nuthatch,3
S80387564,Mallard,2
S80387564,Lesser Goldfinch,2
S80387564,Oak Titmouse,4
S80387564,Turkey Vulture,6
S80387564,Dark-eyed Junco,3
S80387564,Wrentit,1
S80387564,American Crow,2
S80387564,Spotted Towhee,2
S80532437,Black Vulture,1
S80532437,Red-shouldered Hawk,1
S80455163,Blue Jay,3
S80455163,Yellow-bellied Sapsucker,4
S80455163,Carolina Wren,1
S80455163,Mourning Dove,2
S80455163,Northern Mockingbird,1
S80455163,European Starling,3
S80455163,Northern Cardinal,1
S80455163,American Crow,2
S80455163,Carolina Chickadee,1
S80455163,Dark-eyed Junco,2
S80455163,Red-tailed Hawk,1
S80455163,House Sparrow,3
S80455163,Turkey Vulture,3
S80455163,Downy Woodpecker,1
S80455163,White-breasted Nuthatch,1
S80455163,Rock Pigeon,1
S80455163,Song Sparrow,4
S80455163,Pine Siskin,2
S80455163,House Finch,3
S80455163,Eastern Bluebird,1
S80455163,Tufted Titmouse,3
S80553300,Herring Gull,72
S80553300,Yellow-rumped Warbler,2
S80553300,Horned Grebe,1
S80553300,Red-breasted Merganser,4
S80553300,Red-tailed Hawk,1
S80553300,House Sparrow,2
S80553300,Bonaparte's Gull,1
S80553300,Ring-billed Gull,11
S80553300,Turkey Vulture,1
S80553298,Red-tailed Hawk,2
S80504776,European Starling,14
S80504776,Carolina Wren,1
S80504776,Mourning Dove,7
S80504776,Hermit Thrush,1
S80504776,Red Junglefowl (Domestic type),1
S80504776,Blue Jay,2
S80504776,Great Blue Heron,1
S80504776,House Finch,2
S80504776,Clapper Rail,1
S80504776,Double-crested Cormorant,1
S80504776,Red-bellied Woodpecker,2
S80504776,American Crow,6
S80504776,Yellow-rumped Warbler,6
S80504776,Common Grackle,6
S80504776,Northern Cardinal,4
S80504776,Carolina Chickadee,2
S80504776,American Robin,6
S80504776,White-throated Sparrow,2
S80504776,Fish Crow,1
S80504776,Bald Eagle,1
S80504776,Tufted Titmouse,2
S80504776,Mallard,2
S80504776,Song Sparrow,2
S80504776,Red-winged Blackbird,4
S80504776,Eastern Bluebird,12
S80504776,Ring-billed Gull,6
S80620871,Acorn Woodpecker,17
S80620871,Lesser Goldfinch,2
S80620871,Oak Titmouse,8
S80620871,Mallard,5
S80620871,California Towhee,3
S80620871,Steller's Jay,3
S80620871,Golden-crowned Sparrow,9
S80620871,Pine Siskin,20
S80620871,Dark-eyed Junco,7
S80620871,Yellow-rumped Warbler,1
S80620871,White-breasted Nuthatch,3
S80620871,California Scrub-Jay,4
S80620871,Turkey Vulture,8
S80620871,Black Phoebe,2
S80620871,California Thrasher,1
S80622319,Red-tailed Hawk,1
S80622319,Pied-billed Grebe,1
S80622319,Common Raven,1
S80622319,Sharp-shinned Hawk,1
S80622319,Mallard,4
S80622319,Brandt's Cormorant,1
S80622319,Cedar Waxwing,12
S80622319,House Sparrow,2
S80622319,Pygmy Nuthatch,1
