COMMON NAME
Barrow's Goldeneye
Great Horned Owl
Muscovy Duck (Domestic type)
Wood Duck
Long-billed Dowitcher
American Coot
California Quail
White-throated Sparrow
Northern Waterthrush
Wild Turkey
Snow/Ross's Goose
Spotted Towhee
Pacific Golden-Plover
Ring-necked Pheasant
Nelson's Sparrow
Gadwall x Mallard (hybrid)
Varied Thrush
Common Goldeneye
Wilson's Warbler
Woodhouse's Scrub-Jay
American White Pelican
Fox Sparrow
Brown Thrasher
Canyon Towhee
Northern Flicker
Pacific Wren
Brown Pelican
finch sp.
Northern Mockingbird
peep sp.
dabbling duck sp.
Rock Sandpiper
Rusty Blackbird
Field Sparrow
warbler sp. (Parulidae sp.)
Buteo sp.
Black Vulture
Blue-winged/Cinnamon Teal
Clark's Grebe
White-winged Dove
Brown Creeper
Greater/Lesser Scaup
American Crow
Blue-headed Vireo
Northern Cardinal
Western Gull
Double-crested/Neotropic Cormorant
Red-headed Woodpecker
Northern Gannet
Rufous/Allen's Hummingbird
Eastern Phoebe
grebe sp.
Greater/Lesser Yellowlegs
Tropical Kingbird
Wilson's Snipe
Golden-crowned Sparrow
Black-throated Sparrow
Swamp Sparrow
Black Oystercatcher
pigeon/dove sp.
House/Purple Finch
Black-throated Blue Warbler
Orange-crowned Warbler
Eurasian x American Wigeon (hybrid)
Blue-gray Gnatcatcher
Lewis's Woodpecker
Mourning Dove
White-breasted Nuthatch
Tufted Duck
Cedar Waxwing
Pygmy Nuthatch
Chilean Flamingo
Wrentit
Lesser Black-backed Gull
House Finch
Golden-crowned Kinglet
Indian Peafowl (Domestic type)
Greater Scaup
Clark's Nutcracker
Eared Grebe
Evening Grosbeak
hummingbird sp.
Herring x Glaucous-winged Gull (hybrid)
Snowy Plover
Burrowing Owl
LeConte's Thrasher
Western Meadowlark
Eastern Towhee
Iceland Gull
Black Turnstone
Cooper's Hawk
Osprey
Northern Shoveler
Short-billed Dowitcher
Western/Eastern Meadowlark
Western Bluebird
Pacific Loon
Lark Sparrow
Mallard x American Black Duck (hybrid)
Tundra Swan
Greater White-fronted Goose
Bufflehead
White-crowned Sparrow
Carolina Chickadee
Common Loon
Sage Thrasher
Eastern Screech-Owl
Black-and-white Warbler
Rock Pigeon
Common/Barrow's Goldeneye
Mallard/American Black Duck
American Kestrel
Blue-winged x Cinnamon Teal (hybrid)
Cactus Wren
Black Skimmer
Great Black-backed Gull
Dunlin
Mimidae sp.
Great Egret
Dark-eyed Junco
Redhead
passerine sp.
Lawrence's Goldfinch
Harris's Hawk
Vesper Sparrow
Acorn Woodpecker
Black-billed Magpie
Red-shouldered Hawk
cormorant sp.
Green-tailed Towhee
Mallard/Mexican Duck
Baltimore Oriole
Nelson's/Saltmarsh Sparrow (Sharp-tailed Sparrow)
Greater Prairie-Chicken
Northern Shrike
Killdeer
Townsend's Solitaire
Costa's Hummingbird
Western x Glaucous-winged Gull (hybrid)
Hooded Oriole
Eastern Bluebird
Graylag Goose (Domestic type)
Mallard (Domestic type)
Gambel's Quail
Turkey Vulture
Black Scoter
Zonotrichia sp.
Laughing Gull
Short-eared Owl
Juniper Titmouse
Barn Swallow
Barred Owl
Purple Sandpiper
Short-billed/Long-billed Dowitcher
