SAMPLING EVENT IDENTIFIER,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,DURATION MINUTES
S80573786,37.550497756770056,-77.52820585604735,2021-02-07,08:43:00,obs160412,13.0
S80627854,37.06096445677006,-84.63335595604734,2021-02-07,14:00:00,obs1646000,10.0
S80663893,36.97640715677006,-122.05594455604734,2021-02-08,12:07:00,obs90365,5.0
S80636629,37.437263556770056,-81.57980985604735,2021-02-08,07:35:00,obs1290584,12.0
S80703836,37.77678865677006,-122.14035765604734,2021-02-09,08:29:00,obs506822,19.0
S81200318,37.50127475677006,-122.22520765604735,2021-02-08,10:00:00,obs30575,60.0
S80624842,37.62054395677006,-89.20960075604734,2021-02-04,13:00:00,obs962864,40.0
S80722034,37.36105475677006,-90.02431285604735,2021-02-09,15:15:00,obs515389,20.0
S80444119,37.03023485677006,-121.06508785604734,2021-02-04,09:45:00,obs934152,50.0
S80304867,37.06096445677006,-84.63335595604734,2021-02-01,14:10:00,obs1644106,60.0
S80416102,37.40155505677006,-87.39685845604734,2021-02-04,09:36:00,obs309190,45.0
S80275265,37.44124475677006,-89.37314285604734,2021-02-01,11:28:00,obs507922,21.0
S80272320,37.74044905677006,-122.37316905604735,2021-02-01,09:00:00,obs50889,90.0
S80333143,37.37033375677006,-108.60888785604735,2021-02-02,15:25:00,obs1770012,2.0
S99998481,37.37033375677006,-108.60888785604735,2021-02-02,15:25:00,obs168526,2.0
S80473574,37.40016775677006,-79.18262385604734,2021-02-05,13:59:00,obs2166400,47.0
S80614819,37.39707225677006,-105.38675545604734,2021-02-07,09:44:00,obs651046,8.0
S80485907,37.422163856770055,-122.01504895604734,2021-02-05,15:17:00,obs1037059,56.0
S80563857,37.44479475677006,-121.91469365604735,2021-02-06,07:58:00,obs661452,110.0
S80444591,36.962367556770054,-121.77295505604734,2021-02-04,16:30:00,obs1982031,60.0
S80676012,37.59332475677006,-122.31807685604734,2021-02-08,14:44:00,obs339219,10.0
S80452477,37.19261635677006,-94.93661795604734,2021-02-05,08:15:00,obs1392336,6.0
S80677651,37.203312856770054,-113.15771045604734,2021-02-08,15:59:00,obs169626,97.0
S80675758,37.530979456770055,-77.23679085604735,2021-02-06,14:30:00,obs963454,
S80677451,37.257473256770055,-112.96185555604734,2021-02-08,14:13:00,obs1310604,
S80345498,37.34531065677006,-94.82671915604735,2021-02-02,16:36:00,obs854736,
S80246024,37.19261635677006,-94.93661795604734,2021-02-01,07:42:00,obs1392336,10.0
S80525354,36.931886756770055,-76.18012325604734,2021-02-06,09:42:00,obs452726,32.0
S80480509,37.71583475677006,-89.20788785604735,2021-02-05,15:54:00,obs435714,20.0
S83115845,37.273415056770055,-97.40103605604735,2021-02-09,05:10:00,obs856612,5.0
S80557821,36.931886756770055,-76.18012325604734,2021-02-06,07:58:00,obs259398,28.0
S80478958,37.26166065677006,-122.41349335604734,2021-02-05,13:49:00,obs287486,3.0
S80521366,37.45671085677006,-122.44449435604734,2021-02-06,08:40:00,obs54836,34.0
S80468266,37.74044905677006,-122.37316905604735,2021-02-05,09:03:00,obs220078,109.0
S80615356,36.92772475677006,-76.01742285604735,2021-02-07,07:18:00,obs556891,78.0
S80584750,37.678610756770055,-76.39377185604734,2021-02-07,09:19:00,obs803039,114.0
S80246132,36.931886756770055,-76.18012325604734,2021-02-01,08:32:00,obs33814,23.0
S80278924,37.60064485677006,-89.50426395604734,2021-02-01,09:47:00,obs507922,13.0
S80361731,37.31403505677006,-122.07200125604734,2021-02-03,08:24:00,obs342160,2.0
S80530329,37.50820365677006,-121.81549485604734,2021-02-06,09:58:00,obs166679,74.0
S80530330,37.50820365677006,-121.81549485604734,2021-02-06,09:58:00,obs171564,74.0
S80391289,37.21379075677006,-80.39520185604734,2021-02-03,,obs509656,
S80438528,37.35277475677006,-119.69993185604734,2021-02-04,17:02:00,obs162897,27.0
S80536475,37.12205315677006,-76.45106135604735,2021-02-06,12:29:00,obs773300,
S80544842,36.91627675677006,-76.12251385604735,2021-02-06,10:51:00,obs856164,161.0
S80545765,37.093660056770055,-113.51411165604735,2021-02-06,10:00:00,obs351239,20.0
S80608262,37.093660056770055,-113.51411165604735,2021-02-06,10:00:00,obs2088767,20.0
S80543850,37.50820365677006,-121.81549485604734,2021-02-06,08:32:00,obs648071,129.0
S80711426,37.131404956770055,-113.66278415604734,2021-02-09,11:43:00,obs223146,
S80520985,37.218005756770054,-121.88024985604734,2021-02-06,09:06:00,obs369264,22.0
S80420802,37.337670356770055,-121.95211975604734,2021-02-04,10:28:00,obs53116,43.0
S80427276,37.243210856770055,-80.45154035604735,2021-02-04,15:54:00,obs152624,16.0
S80367047,37.453082556770056,-94.71251305604734,2021-02-03,11:25:00,obs1444683,38.0
S80321133,37.243210856770055,-80.45154035604735,2021-02-02,14:04:00,obs152624,21.0
S80332454,37.37357475677006,-120.42929285604734,2021-02-02,08:00:00,obs1248073,240.0
S80385083,37.39717075677006,-122.25364985604735,2021-02-03,13:56:00,obs273117,102.0
S80386014,37.36105475677006,-90.02431285604735,2021-02-03,17:48:00,obs515389,10.0
S80392200,36.91081175677006,-120.00559785604734,2021-02-03,09:45:00,obs314455,
S80530685,37.706978756770056,-79.82166285604734,2021-02-06,10:30:00,obs962225,59.0
S80396742,37.40613715677006,-121.95503415604735,2021-02-03,11:00:00,obs1219716,120.0
S80555418,37.40152675677006,-122.41137885604735,2021-02-06,16:41:00,obs287486,4.0
S80502244,37.129937156770055,-80.58543835604735,2021-02-06,08:00:00,obs60282,7.0
S80666606,37.544866756770055,-77.96983585604734,2021-02-08,13:14:00,obs350072,175.0
S80635934,37.36105475677006,-90.02431285604735,2021-02-08,06:00:00,obs515389,15.0
S80727934,37.29631475677006,-121.91099285604734,2021-02-02,07:15:00,obs168076,105.0
S80686355,37.73731815677006,-122.41876195604735,2021-02-08,12:00:00,obs1174064,20.0
S80449654,37.257473256770055,-112.96185555604734,2021-02-04,14:00:00,obs1541845,
S80420006,37.73984875677006,-77.57225485604734,2021-02-04,12:07:00,obs656371,
S80331456,37.19261635677006,-94.93661795604734,2021-02-02,15:54:00,obs1392336,
S80462698,37.77759875677006,-122.43878385604734,2021-02-05,09:13:00,obs1482134,2.0
S80535447,37.38484985677006,-122.40079195604734,2021-02-06,11:00:00,obs166761,2.0
S80542783,37.02415175677006,-76.39559885604734,2021-02-06,16:31:00,obs2190932,13.0
S80550551,37.74044905677006,-122.37316905604735,2021-02-06,15:25:00,obs330343,60.0
S80567735,37.41591375677006,-121.93982585604735,2021-02-06,10:35:00,obs1389775,5.0
S80598966,37.74044905677006,-122.37316905604735,2021-02-07,08:07:00,obs507426,138.0
S80657706,37.17165775677006,-119.77766685604735,2021-02-08,10:03:00,obs504501,61.0
S80715373,37.17165775677006,-119.77766685604735,2021-02-09,11:31:00,obs504501,15.0
S80675565,37.530979456770055,-77.23679085604735,2021-02-07,08:30:00,obs963454,
S80620060,37.76534975677006,-85.35002685604735,2021-02-07,16:37:00,obs1203174,21.0
S80522835,37.77678865677006,-122.14035765604734,2021-02-06,09:25:00,obs506822,23.0
S80647742,37.550497756770056,-77.52820585604735,2021-02-08,11:29:00,obs160412,3.0
S80423080,37.17165775677006,-119.77766685604735,2021-02-04,11:50:00,obs504501,6.0
S80590146,37.50127475677006,-122.22520765604735,2021-02-07,09:03:00,obs1991084,18.0
S80314364,37.44124475677006,-89.37314285604734,2021-02-02,09:51:00,obs1110245,93.0
S80360248,37.77678865677006,-122.14035765604734,2021-02-03,07:35:00,obs506822,25.0
S80484838,37.64872475677006,-94.23552285604734,2021-02-05,13:37:00,obs1295926,
S80432676,37.68666695677006,-75.72464045604734,2021-02-03,09:00:00,obs567128,
S80381164,37.50127475677006,-122.22520765604735,2021-02-03,12:44:00,obs91229,57.0
S80397499,37.50127475677006,-122.22520765604735,2021-02-03,12:44:00,obs508802,57.0
S80488970,37.50127475677006,-122.22520765604735,2021-02-05,15:07:00,obs761968,68.0
S80472372,37.38594475677006,-76.76191455604734,2021-02-05,15:00:00,obs630761,
S80490724,36.97947475677006,-121.89969285604734,2021-02-05,11:58:00,obs2185435,90.0
S80520959,37.10245725677006,-90.03911795604735,2021-02-06,09:30:00,obs136691,119.0
S80636526,37.550497756770056,-77.52820585604735,2021-02-08,07:40:00,obs160412,3.0
S80725829,37.47249045677006,-122.30916915604735,2021-02-09,12:19:00,obs1171407,138.0
S80729920,37.50127475677006,-122.22520765604735,2021-02-09,10:30:00,obs343821,120.0
S80454769,37.19261635677006,-94.93661795604734,2021-02-05,08:57:00,obs1392336,11.0
S80610057,37.00456845677006,-121.99963925604735,2021-02-07,09:00:00,obs1983864,180.0
S80364438,37.36658755677006,-121.85553485604734,2021-02-03,08:38:00,obs1227101,32.0
S80343841,37.73731815677006,-122.41876195604735,2021-02-02,12:00:00,obs1946624,30.0
S88994781,37.73731815677006,-122.41876195604735,2021-02-02,12:00:00,obs2506473,30.0
S80623917,37.17165775677006,-119.77766685604735,2021-02-07,16:53:00,obs504501,8.0
S80679937,37.74044905677006,-122.37316905604735,2021-02-07,12:10:00,obs1946624,70.0
S88994707,37.74044905677006,-122.37316905604735,2021-02-07,12:10:00,obs2506473,70.0
S88994736,37.74044905677006,-122.37316905604735,2021-02-04,14:30:00,obs2506473,70.0
S80417241,37.06096445677006,-84.63335595604734,2021-02-04,10:00:00,obs1646000,60.0
S80279184,37.64311745677006,-78.75426705604734,2021-02-01,15:29:00,obs433441,3.0
S80505812,37.18707175677006,-77.34627385604735,2021-02-06,08:34:00,obs439293,38.0
S80310719,37.06096445677006,-84.63335595604734,2021-02-02,10:15:00,obs1644106,55.0
S80701801,37.19261635677006,-94.93661795604734,2021-02-09,10:15:00,obs1392336,5.0
S80697080,37.19261635677006,-94.93661795604734,2021-02-09,09:01:00,obs1392336,7.0
S80388649,37.74044905677006,-122.37316905604735,2021-02-03,13:30:00,obs325049,90.0
S80598935,37.74044905677006,-122.37316905604735,2021-02-07,08:07:00,obs507417,138.0
S80478233,37.40016775677006,-79.18262385604734,2021-02-05,13:59:00,obs758509,47.0
S80473748,37.40016775677006,-79.18262385604734,2021-02-05,13:59:00,obs2160079,47.0
S80471511,37.40016775677006,-79.18262385604734,2021-02-05,13:59:00,obs2160113,47.0
S85133044,37.358765756770055,-122.05811655604734,2021-02-07,13:00:00,obs2409082,120.0
S80515615,37.706978756770056,-79.82166285604734,2021-02-06,10:30:00,obs479054,59.0
S80612656,37.50820365677006,-121.81549485604734,2021-02-07,12:42:00,obs1521000,120.0
S80585083,37.084815756770055,-88.69258585604734,2021-02-07,10:03:00,obs1742820,20.0
S80720950,37.06096445677006,-84.63335595604734,2021-02-09,15:00:00,obs1644106,60.0
S80557834,37.06096445677006,-84.63335595604734,2021-02-06,13:45:00,obs1644106,136.0
S80740088,37.41591375677006,-121.93982585604735,2021-02-09,10:05:00,obs1389775,5.0
S85863441,37.24203405677006,-85.99487945604734,2021-02-06,09:00:00,obs2156453,60.0
S80593908,37.266224556770055,-78.33177075604735,2021-02-07,11:00:00,obs1927948,60.0
S80401854,37.129937156770055,-80.58543835604735,2021-02-04,07:46:00,obs60282,8.0
S80476397,37.13070605677006,-75.95315965604735,2021-02-05,09:49:00,obs279010,14.0
S80284856,37.03396925677006,-94.50490475604734,2021-02-01,11:40:00,obs278374,
S80414806,37.71583475677006,-89.20788785604735,2021-02-04,08:31:00,obs435714,
S83115870,37.273415056770055,-97.40103605604735,2021-02-04,16:38:00,obs856612,6.0
S80476774,37.218005756770054,-121.88024985604734,2021-02-05,12:57:00,obs369264,20.0
S80617727,37.62213665677006,-76.54744435604734,2021-02-06,15:29:00,obs1023537,
S80558438,37.50127475677006,-122.22520765604735,2021-02-06,10:30:00,obs2194826,28.0
S80570726,37.36291575677006,-118.40045785604734,2021-02-06,06:50:00,obs446156,612.0
S80439599,37.74044905677006,-122.37316905604735,2021-02-04,14:30:00,obs1946624,70.0
S80618081,37.38857755677006,-121.96934305604735,2021-02-07,10:00:00,obs1991842,60.0
S80308421,37.13025975677006,-76.36680365604734,2021-02-02,10:10:00,obs526743,23.0
S83523287,37.37999975677006,-122.04021185604735,2021-02-09,14:30:00,obs602491,5.0
S80247872,37.75861425677006,-89.04953385604735,2021-02-01,08:17:00,obs353054,11.0
S80711004,37.514301456770056,-77.54552305604734,2021-02-06,10:00:00,obs1937233,240.0
S80494981,37.59021975677006,-121.60802995604735,2021-02-05,15:26:00,obs1210909,238.0
S82047283,37.75661375677006,-79.78789785604734,2021-02-07,14:08:00,obs354840,
S80583526,37.69787575677006,-77.62617885604735,2021-02-06,10:30:00,obs50219,35.0
S80481952,37.69787575677006,-77.62617885604735,2021-02-05,08:00:00,obs50219,20.0
S80559609,37.00626545677006,-76.30801025604734,2021-02-06,12:10:00,obs354840,54.0
S80292061,36.931886756770055,-76.18012325604734,2021-02-01,12:12:00,obs641698,23.0
S80489025,37.26166065677006,-122.41349335604734,2021-02-05,17:34:00,obs994749,
S80292318,36.931886756770055,-76.18012325604734,2021-02-01,15:56:00,obs641698,48.0
S80520784,36.931886756770055,-76.18012325604734,2021-02-06,11:58:00,obs279010,25.0
S80424979,37.03427755677006,-76.61558445604734,2021-02-04,09:40:00,obs212353,20.0
S80422734,37.511899756770056,-77.46502185604734,2021-02-04,14:50:00,obs1150525,
S80259806,37.52555875677006,-78.02054085604735,2021-02-01,12:38:00,obs487259,11.0
S80303193,37.511899756770056,-77.46502185604734,2021-02-02,08:50:00,obs1150525,
S80271187,37.511899756770056,-77.46502185604734,2021-02-01,14:26:00,obs1150525,
S80281935,37.71881475677006,-89.42643885604734,2021-02-01,12:33:00,obs534845,
S80281868,37.66853315677006,-75.83137625604735,2021-02-01,16:44:00,obs305854,30.0
S80362155,36.931886756770055,-76.18012325604734,2021-02-03,08:15:00,obs603658,90.0
S80436163,36.997265756770055,-121.79900085604734,2021-02-04,14:35:00,obs1315342,100.0
S80396199,37.093660056770055,-113.51411165604735,2021-02-03,16:53:00,obs1212231,52.0
S80456942,37.00626545677006,-76.30801025604734,2021-02-05,10:41:00,obs1838577,60.0
S80717342,37.776807756770054,-76.59417085604734,2021-02-07,15:30:00,obs852981,45.0
S80542557,37.50820365677006,-121.81549485604734,2021-02-06,08:32:00,obs2000228,129.0
S80547561,37.36616775677006,-119.62018185604734,2021-02-06,14:27:00,obs162897,18.0
S80653889,37.36635175677006,-119.61680585604735,2021-02-08,09:09:00,obs277822,22.0
S80571694,37.69884195677006,-76.32984225604734,2021-02-06,06:50:00,obs841708,600.0
S80610742,37.26579035677006,-122.01001945604735,2021-02-07,08:30:00,obs1155364,100.0
S80506521,37.62505435677006,-94.74482835604735,2021-02-06,07:56:00,obs854736,38.0
S80626243,37.509454756770054,-122.47317255604734,2021-02-07,17:47:00,obs327609,12.0
S80253496,36.931886756770055,-76.18012325604734,2021-02-01,10:38:00,obs1124610,27.0
S80784110,37.69884195677006,-76.32984225604734,2021-02-09,07:00:00,obs841708,540.0
S80691010,37.11103105677006,-80.59172865604734,2021-02-09,07:30:00,obs60282,18.0
S80697075,37.79210975677006,-76.62729685604734,2021-02-08,11:44:00,obs2048701,
S80697971,37.69884195677006,-76.32984225604734,2021-02-08,07:15:00,obs841708,120.0
S80750424,37.69787575677006,-77.62617885604735,2021-02-09,08:30:00,obs50219,15.0
S81281087,37.26672085677006,-80.00621415604735,2021-02-07,09:30:00,obs1492655,10.0
S80648156,37.29631475677006,-121.91099285604734,2021-02-08,07:27:00,obs168076,71.0
S80448285,37.36105475677006,-90.02431285604735,2021-02-05,06:00:00,obs515389,18.0
S80282772,37.71583475677006,-89.20788785604735,2021-02-01,07:30:00,obs165598,
S80282773,37.71583475677006,-89.20788785604735,2021-02-01,07:30:00,obs435714,
S80347002,37.41591375677006,-121.93982585604735,2021-02-02,13:25:00,obs1389775,5.0
S80263037,37.30085775677006,-76.79496785604735,2021-02-01,13:25:00,obs2035700,
S80352934,36.92772475677006,-76.01742285604735,2021-02-03,07:36:00,obs175096,54.0
S80338824,37.37999975677006,-122.04021185604735,2021-02-02,15:52:00,obs141946,40.0
S80340238,37.55301775677006,-121.95232485604734,2021-02-01,17:16:00,obs1092165,
S80487343,37.70094015677006,-97.28791185604734,2021-02-05,08:52:00,obs565926,20.0
S80489152,37.41591375677006,-121.93982585604735,2021-02-05,12:30:00,obs1389775,5.0
S80501640,37.33319275677006,-79.00012685604734,2021-02-06,08:10:00,obs1135057,
S80562778,37.39270715677006,-122.19034695604735,2021-02-06,06:40:00,obs237543,300.0
S80610535,37.71583475677006,-89.20788785604735,2021-02-07,07:00:00,obs165598,
S80633303,37.41591375677006,-121.93982585604735,2021-02-07,09:10:00,obs1389775,5.0
S81514302,37.64311745677006,-78.75426705604734,2021-02-01,15:29:00,obs513753,3.0
S80333497,37.33776615677006,-122.04150775604734,2021-02-02,14:09:00,obs312929,24.0
S80592680,37.725260156770055,-119.63778795604735,2021-02-07,09:39:00,obs538119,11.0
S80485582,37.36105475677006,-90.02431285604735,2021-02-05,17:53:00,obs515389,10.0
S80378397,37.422163856770055,-122.01504895604734,2021-02-03,11:39:00,obs1217844,109.0
S80483034,37.485031756770056,-77.20182685604735,2021-02-05,12:13:00,obs641698,160.0
S80471992,37.485031756770056,-77.20182685604735,2021-02-05,12:13:00,obs279010,160.0
S80549206,37.36105475677006,-90.02431285604735,2021-02-06,17:04:00,obs515389,5.0
S80605037,36.962367556770054,-121.77295505604734,2021-02-07,09:45:00,obs900754,60.0
S80621165,37.324706756770055,-80.68361085604734,2021-02-07,17:38:00,obs563626,32.0
S80625236,37.40152675677006,-122.41137885604735,2021-02-06,11:06:00,obs166761,7.0
S80632432,37.73731815677006,-122.41876195604735,2021-02-07,,obs1174064,
S80728317,37.29631475677006,-121.91099285604734,2021-02-05,07:15:00,obs168076,45.0
S80736536,37.422163856770055,-122.01504895604734,2021-02-09,16:00:00,obs1569210,105.0
S80702079,37.36105475677006,-90.02431285604735,2021-02-09,10:03:00,obs515389,20.0
S80701231,37.29631475677006,-121.91099285604734,2021-02-09,06:57:00,obs168076,74.0
S80385659,37.02584675677006,-120.96780085604735,2021-02-03,13:27:00,obs808072,83.0
S80481864,37.02690955677006,-122.21637905604734,2021-02-05,08:41:00,obs278319,75.0
S80585818,37.01123675677006,-88.66304385604734,2021-02-07,09:58:00,obs1012023,33.0
S80586244,37.77678865677006,-122.14035765604734,2021-02-07,08:16:00,obs506822,20.0
S80254271,37.77678865677006,-122.14035765604734,2021-02-01,07:57:00,obs506822,20.0
S80260758,37.550497756770056,-77.52820585604735,2021-02-01,12:55:00,obs160412,8.0
S80649481,37.77678865677006,-122.14035765604734,2021-02-08,08:19:00,obs506822,39.0
S80283056,37.06096445677006,-84.63335595604734,2021-02-01,17:15:00,obs1646000,15.0
S80339037,37.17165775677006,-119.77766685604735,2021-02-02,16:34:00,obs504501,7.0
S80529490,37.46197375677006,-118.59255985604734,2021-02-06,09:47:00,obs171759,70.0
S80486209,37.47249045677006,-122.30916915604735,2021-02-05,15:53:00,obs115521,27.0
S80389290,37.30689485677006,-78.39135435604734,2021-02-02,15:19:00,obs630761,20.0
S80427279,37.50127475677006,-122.22520765604735,2021-02-04,09:54:00,obs56093,83.0
S80442939,37.01773715677006,-77.39051225604734,2021-02-04,13:30:00,obs1385128,
S80462405,37.77678865677006,-122.14035765604734,2021-02-05,08:40:00,obs506822,31.0
S80535658,37.68666695677006,-75.72464045604734,2021-02-06,09:00:00,obs567128,
S80595871,37.06096445677006,-84.63335595604734,2021-02-07,12:07:00,obs1644106,69.0
S80545709,37.06096445677006,-84.63335595604734,2021-02-06,16:50:00,obs1646000,15.0
S80549113,37.08436375677006,-88.69259385604734,2021-02-06,17:04:00,obs1742820,4.0
S80652736,37.06096445677006,-84.63335595604734,2021-02-08,11:45:00,obs1644106,30.0
S80555820,37.50127475677006,-122.22520765604735,2021-02-06,13:45:00,obs91229,140.0
S80622367,37.11618165677006,-113.57575955604734,2021-02-07,12:00:00,obs678592,60.0
S80660911,37.363839756770055,-118.37444385604735,2021-02-08,10:12:00,obs131789,5.0
S80628556,37.50127475677006,-122.22520765604735,2021-02-07,13:04:00,obs175514,116.0
S80663252,37.078125756770056,-93.99843385604734,2021-02-08,14:36:00,obs177921,
S80663253,37.078125756770056,-93.99843385604734,2021-02-08,14:36:00,obs517144,
S80671548,37.45053445677006,-118.60500725604734,2021-02-08,09:45:00,obs650919,
S80685578,37.68046675677006,-121.76136785604734,2021-02-08,14:42:00,obs52397,
S80730941,37.772937756770055,-120.87413605604735,2021-02-09,08:05:00,obs222681,85.0
S80553944,36.97947475677006,-121.89969285604734,2021-02-06,03:00:00,obs2185435,90.0
